Product Names,Star Ratings,Review Count,Sales Volume,MRP Price,Discount Precentage,Discounted Price,Prime Delivery Estimate,Non Prime Delivery Estimate,Festival Tag,Category,Sub Category
"ARZOPA 16.1"" FHD Portable Monitor, IPS, 60Hz, USB-C & HDMI",4.4,1925,100,35999,0.66,12299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"Acer ED270R S3 27"" (68.58 cm)""",4.1,695,100 ,15299,0.25,11499,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"Samsung Odyssey G5 LS27DG502EWXXL, 27"" QHD Gaming Monitor, 180Hz, 1ms",4.2,279,300,31600,0.35,20499,11/10/2025,13/10/2025,Limited time deal,Electronics,Monitor
"Acer SA272U G 27""""",4.2,266,200 ,14999,0.21,11899,10/10/2025,12/10/2025,Best seller,Electronics,Monitor
"ZEBSTER GV120, 20"" LED Monitor, HD+ 1600x900, Dual HDMI & VGA",3.5,298,200,6999,0.64,2499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"LG Ultragear 24GS65F 24"" (60.96 cm)""",4.3,398,1K ,20000,0.51,9799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"FRONTECH MON-0061, 18.5"" HD LED Monitor, HDMI & VGA",3.5,744,500,7000,0.7,2119,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Monitor
"Lenovo L27i-4A 27"" (68.5 cm)""",4.2,525,1K ,15590,0.36,9990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"BenQ GW2790T, 27"" FHD IPS Monitor, 100Hz, Eye-Care",4.2,152,200,18990,0.35,12250,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"ZEBRONICS V22HD+LED 22"" (55.8 cm)""",3,59,1K ,12799,0.77,2999,10/10/2025,10/10/2025,Great Indian Festival,Electronics,Monitor
"Acer ED320QR, 31.5"" FHD VA Curved Monitor, 165Hz, 1ms, FreeSync",4.1,700,100,20999,0.33,14141,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"Acer SA272 P1 27""""",4.2,21,400 ,11999,0.28,8689,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Monitor
"ARZOPA 17.3"", FHD IPS Portable Gaming Monitor, 60Hz, Built-in Speaker",4.3,794,100,35999,0.57,15578,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"Acer ED270U S3 27""""",4.2,61,100 ,19999,0.26,14899,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Monitor
"LG Ultragear 27GS75Q-B, 27"" QHD IPS Gaming Monitor, 180Hz, 1ms",4.2,126,300,32000,0.34,20999,11/10/2025,13/10/2025,Best seller,Electronics,Monitor
"ZEBRONICS Zeb-V19Hd 18.5"" (46.99 cm)""",3.6,4473,2K ,6999,0.66,2399,11/10/2025,12/10/2025,Best seller,Electronics,Monitor
"Acer SA322Q, 31.5"" FHD IPS Monitor, 75Hz, Eye Care",4.1,103,100,17999,0.3,12599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"Samsung S3 LS24D300GAWXXL 24"" (60.5 cm)""",4.2,1515,2K ,15200,0.53,7099,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Monitor
"Samsung Odyssey G9 LS49DG930SWXXL, 49"" Dual QHD OLED Curved Gaming Monitor, 240Hz, 0.03ms",4.1,24,50,247000,0.6,99999,11/10/2025,13/10/2025,Best seller,Electronics,Monitor
"FRONTECH MON-0054 20"" (50.8 cm)""",3.4,3755,3K ,8000,0.7,2399,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Monitor
"Acer ED320QR H, 31.5"" FHD VA Curved Monitor, 1500R, 100Hz",3.9,99,100,16999,0.24,12999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Monitor
"BenQ GW2790Q 27""""",4.4,328,1K ,22990,0.37,14490,10/10/2025,12/10/2025,Best seller,Electronics,Monitor
"BenQ GW2790QT, 27"" IPS 2K QHD Monitor, USB-C 65W, Daisy Chain",4.1,1287,400,34990,0.3,24490,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"Dell SE2225HM 21.5"" (54.6 cm)""",4.4,238,500 ,17444,0.64,6249,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"LG 32SR50F, 32"" FHD IPS Smart Monitor, webOS, AirPlay, Bluetooth",4,342,300,28500,0.42,16398,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"LG Ultragear 32GS60QC 32"" (81.28 cm)""",4.3,237,500 ,28000,0.34,18499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"BenQ GW2486TC, 24"" IPS FHD Coding Monitor, 100Hz, USB-C 65W PD, Daisy Chain",4.4,306,400,19990,0.27,14498,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"Samsung LS24F320GAWXXL, 24"" FHD IPS Monitor, 120Hz, Dual HDMI",4.3,9,200,19500,0.61,7599,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"Acer Nitro VG240Y X1, 23.8"" IPS FHD Gaming Monitor, 200Hz, HDR10",4.2,178,400,12999,0.34,8599,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Monitor
"Samsung Odyssey G5 LS32DG500EWXXL, 32"" QHD Gaming Monitor, 180Hz, 1ms",4.4,43,100,56900,0.56,25299,11/10/2025,13/10/2025,Best seller,Electronics,Monitor
"Lenovo Legion R25f-30, 25"" FHD Gaming Monitor, 240Hz, 0.5ms, FreeSync",4.4,210,300,20290,0.44,11289,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"FRONTECH MON-0091, 22"" FHD LED Monitor, 100Hz, HDMI & VGA",3.6,190,200,10000,0.51,4869,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Monitor
"Lenovo Legion R27q-30, 27"" QHD Gaming Monitor, 180Hz, 0.5ms, FreeSync",4.1,96,100,29890,0.36,18990,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Monitor
"LG 24U631A, 24"" QHD IPS Monitor, 100Hz, HDR10, USB-C PD",4,87,300,16000,0.31,10999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"BenQ MA270U, 27"" 4K Monitor, P3 Gamut, Dual USB-C 90W",4.5,234,200,55000,0.27,39990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Monitor
"Foxin Elite, 27"" Curved LED FHD Monitor, 100Hz, 5ms, Frameless",3.6,63,50,20999,0.61,8090,10/10/2025,12/10/2025,Limited time deal,Electronics,Monitor
"Foxin 20"", HD LED Monitor, 1600x900, HDMI & VGA, 60Hz",3.1,38,100,11999,0.78,2698,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Monitor
"BenQ GW2791, 27"" FHD IPS Eye-Care Monitor, 100Hz, 99% sRGB",4.3,75,200,14990,0.38,9289,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
"Acer SA222Q, 21.5"" FHD IPS LED Monitor, 100Hz, Eye Care",4.2,2484,100,10000,0.37,6299,11/10/2025,13/10/2025,Best seller,Electronics,Monitor
"Acer K202Q, 19.5"" HD+ LCD Monitor, VGA & HDMI",4.2,121,100,8000,0.4,4825,10/10/2025,12/10/2025,Limited time deal,Electronics,Monitor
"LG 32SR75U, 32"" 4K UHD Smart Monitor, HDR10, webOS, AirPlay 2",4.4,32,50,38000,0.18,30999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Monitor
"Acer SA322QU E, 31.5"" WQHD IPS Monitor, 100Hz, 1ms, FreeSync & G-Sync",4.3,103,100,20999,0.3,14599,10/10/2025,14/10/2025,Great Indian Festival,Electronics,Monitor
"LG 27UP850K, 27"" 4K UHD IPS Monitor, HDR400, USB-C, Speakers",4.3,4080,100,52000,0.41,30499,10/10/2025,12/10/2025,Best seller,Electronics,Monitor
"Acer ED270U S3, 27"" WQHD Curved Gaming Monitor, 180Hz, 1ms",4.2,65,100,19999,0.26,14899,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Monitor
amazon basics Bluetooth 5.0 Neckband,3.1,268,300 ,2999,0.87,399,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Neckband
Probuds N31 Wireless Bluetooth Neckband (Mic),4.2,1.8K,2K ,2499,0.6,999,10/10/2025,13/10/2025,Best seller,Electronics,Neckband
GOBOULT Audio FXCharge Bluetooth Earphone with,3.7,31.1K,300 ,4499,0.82,799,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Neckband
GOBOULT Audio ZCharge Bluetooth Earphones with,3.7,31.1K,400 ,4999,0.82,899,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Neckband
amazon basics in-Ear Wireless Neckband Mic,3.4,3.5K,400 ,1999,0.69,629,11/10/2025,12/10/2025,Limited time deal,Electronics,Neckband
pTron Tangentbeat in Ear Bluetooth Wireless,3.8,78.3K,600 ,2499,0.78,549,10/10/2025,13/10/2025,Best seller,Electronics,Neckband
ZEBRONICS Jumbo LITE 70 Hours Backup,3.6,21.3K,500 ,2999,0.82,549,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Neckband
pTron Tangentbeat in Ear Bluetooth 5.0 Wireless,3.8,78.3K,900 ,2499,0.78,549,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Neckband
ZEBRONICS Zeb Evolve Wireless Bluetooth in Ear,3.6,21.3K,2K ,1499,0.69,459,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Neckband
ZEBRONICS Yoga N3 46 Hours Backup,3.6,145,300 ,2999,0.71,879,10/10/2025,13/10/2025,Best seller,Electronics,Neckband
OnePlus Bullets Z2 Bluetooth Wireless in Ear,4.1,2L,20K ,2299,0.37,1449,11/10/2025,12/10/2025,Best seller,Electronics,Neckband
OnePlus Bullets Bluetooth Wireless in Ear Z2,4.1,2L,6K ,2299,0.37,1449,11/10/2025,12/10/2025,Best seller,Electronics,Neckband
"Canon Pixma TS307a, Single Function Wireless Inkjet Colour",3.5,4167,100,3595,0.8,3299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
MY PRINT L8050 Multicolor,4,263,100 ,26999,0.15,22990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
"Canon PIXMA MegaTank G3770 BK, All-in-one WiFi Inktank",4.1,682,1K,20270,0.17,16799,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
Canon Pixma MG2577s Blue/White,3.4,1.45L,100 ,3875,0.1,3499,10/10/2025,12/10/2025,Best seller,Electronics,Printers
"SEZNIK Portable A4 Printer, Bluetooth Inkless Thermal, Mini",4.6,456,50,16000,0.47,8499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
Epson EcoTank L3252 Black,4,3.19k,5K ,17999,0.29,12799,10/10/2025,12/10/2025,Best seller,Electronics,Printers
"Canon MAXIFY GX4070, All-in-One WiFi Inktank with Fax",4.2,26,50,35999,0.21,28350,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Printers
HP Smart Tank 530,3.8,1.32k,300 ,22624,0.34,14999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
"Brother DCP-T226, All-in-One Color Printer, Home Use",4,1285,500,13990,0.39,8499,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Printers
Brother DCP-T820DW,4.3,1.74k,300 ,22690,0.12,19999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
"HP Smart Tank 529, AIO Colour Ink Tank Printer",3.6,923,500,13528,0.33,8999,10/10/2025,12/10/2025,Best seller,Electronics,Printers
HP Ink Advantage Ultra 4929 White,3.8,546,300 ,10404,0.25,7799,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
"Canon PIXMA MegaTank G2730, All-in-One Inktank Printer",3.8,108,500,13365,0.33,8999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
Canon PIXMA MegaTank G3730,4,137,500 ,16295,0.36,10499,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
"Brother DCP-T535DW, WiFi Auto Duplex Printer, High Yield",4.3,80,500,18290,0.11,16199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
Epson EcoTank L3260 Black,4.1,337,300 ,21999,0.15,18659,10/10/2025,13/10/2025,Best seller,Electronics,Printers
"HP Smart Tank 589, All-in-One WiFi Colour Printer, High Capacity",4,2419,4K,16937,0.33,11299,10/10/2025,12/10/2025,Limited time deal,Electronics,Printers
HP DeskJet Ink Advantage 2338,3.5,1.07k,300 ,6980,0.36,4499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
"SEZNIK Portable A4 Printer, Bluetooth Inkless, Mini Printer",4.6,456,100,20000,0.53,9399,10/10/2025,12/10/2025,Limited time deal,Electronics,Printers
Canon Pixma TS207 Black,3.5,4.16k,200 ,2695,0.15,2299,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
"Canon PIXMA MegaTank G3730, All-in-One Wireless Inktank",4,140,500,16985,0.12,14999,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Printers
Canon PIXMA MG3070S,3.1,1.86k,400 ,5995,0.27,4399,10/10/2025,12/10/2025,Best seller,Electronics,Printers
"HP Ink Advantage 2878, WiFi Colour Printer, Home Use",3.6,2746,500,8860,0.35,5799,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Printers
HP Ink Advantage 2878 White,3.7,2.74k,400 ,8861,0.35,5799,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
"SEZNIK Mini Wireless Monochrome, Inkless Pocket Printer",4.6,867,500,4999,0.61,1929,11/10/2025,13/10/2025,Limited time deal,Electronics,Printers
HP Ink Advantage 4278 White,3.3,2.08k,500 ,9880,0.31,6799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
"HP Laser 1008W, Monochrome Laser Printer, Wireless",4.1,2373,500,14969,0.17,12499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
HP Smart Tank 529 Magenta,3.6,906,500 ,13528,0.3,9499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
"Brother HL-L2321D, Automatic Duplex Monochrome Laser Printer",4.4,4649,500,13090,0.16,10999,10/10/2025,12/10/2025,Best seller,Electronics,Printers
Brother DCP-T525W,4.2,811,200 ,17790,0.26,13199,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
"HP LaserJet Tank MFP 2606sdw, Wireless Monochrome, ADF",4,407,400,32858,0.36,20990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
Epson EcoTank L4260 Black,3.9,360,50 ,23999,0.06,22599,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Printers
"Brother DCP-T820DW, WIFI Auto Duplex Color Multifunction, ADF",4.3,1743,300,22690,0.12,19999,11/10/2025,13/10/2025,Best seller,Electronics,Printers
HP Smart Tank 589 Magenta,4,2.39k,4K ,17275,0.32,11799,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Printers
"HP Ink Advantage 4278, WiFi Colour Printer with ADF",3.3,2083,500,9880,0.31,6799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
Canon PIXMA E477,3.8,11.93k,3K ,6355,0.29,4499,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Printers
"MY PRINT L8050, 6 Color Wireless Inkjet, PVC Card Print",4,270,200,26999,0.15,22989,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Printers
Epson EcoTank L3211 Black,4,3.1k,1K ,14999,0.3,10499,11/10/2025,12/10/2025,Best seller,Electronics,Printers
"Brother DCP-T730DW, WIFI Auto Duplex Color Multifunction, ADF",4.1,66,500,22990,0.2,18399,11/10/2025,13/10/2025,Limited time deal,Electronics,Printers
Canon PIXMA MegaTank G3770 Black,4.1,674,1K ,20270,0.34,13299,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Printers
HP Deskjet 2820 White,3.3,635,500 ,7071,0.25,5299,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Printers
Epson EcoTank L3250 Black,4,3.41k,500 ,17999,0.24,13699,10/10/2025,10/10/2025,Great Indian Festival,Electronics,Printers
Canon PIXMA MegaTank G2730,3.8,106,500 ,13365,0.33,8999,10/10/2025,12/10/2025,Best seller,Electronics,Printers
Canon PIXMA MegaTank G4780,4,48,200 ,29495,0.36,18999,10/10/2025,12/10/2025,Best seller,Electronics,Printers
"Samsung Galaxy A55 5G, Awesome Iceblue, 12GB, 256GB",4.2,3358,5K,48999,0.41,28999,11/10/2025,13/10/2025,Limited time deal,Electronics,Smart Phones
Samsung Galaxy S24 Ultra 5G AI Smartphone,4.4,4.6K,5K ,134999,0.44,75749,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"iPhone 16, A18 Chip, 5G",4.5,1595,500,79900,0.16,66900,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Phones
Apple iPhone 15 (128 GB) - Black,4.5,6.2K,5K ,69900,0.31,47999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Neo 10R 5G, Raging Blue, 12GB, 256GB",4.4,4062,4K,35999,0.19,28998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Redmi A4 5G (Sparkle Purple, 6GB RAM, 128GB)",4,7.5K,5K ,12999,0.31,8999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Vivo T4 Lite 5G, Prism Blue, 6GB, 128GB",4.3,292,2K,14999,0.27,10999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Neo 10 (Titanium Chrome, 8GB RAM, 256GB)",4.3,2.7K,5K ,38999,0.18,31998,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Samsung Galaxy A35 5G, Awesome Navy, 8GB, 128GB",4.2,298,2K,33999,0.47,17999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Lava O3 Pro (Glossy Purple, 4 GB RAM, 64 GB",4,335,500 ,7799,0.23,5999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
iQOO Neo 10R 5G Raging Blue 8GB 256GB,4.4,4062,5K,33999,0.21,26998,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
Apple iPhone 15 (128 GB) - Pink,4.5,6.2K,5K ,69900,0.31,48499,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"POCO C75 5G Aqua Bliss, 5160mAh, 6.88""",3.9,42,500,11499,0.3,8089,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
realme NARZO 80 Lite 5G (Crystal Purple),4.2,1.3K,5K ,14999,0.34,9898,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"OnePlus 13R, Astral Trail, 12GB, 256GB",4.4,3147,5K,44999,0.16,37999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM)",4.2,10.1K,5K ,20999,0.24,15999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"OnePlus Nord 5, Marble Sands, 8GB, 256GB",4.4,2355,5K,34999,0.11,30999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"realme NARZO 80 Lite 5G (Onyx Black, 6GB+128GB)",4.2,1.3K,5K ,14999,0.34,9898,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"OnePlus Nord CE5, Nexus Blue, 8GB, 256GB",4.3,2339,5K,26999,0.4,25999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10 Lite 5G (Titanium Blue, 6GB RAM, 128GB)",4,2.7K,5K ,14999,0.27,10998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"OnePlus Nord CE5, Nexus Blue, 8GB, 128GB",4.3,2339,5K,24999,0.4,23999,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB)",4,7.4K,5K ,9999,0.38,6249,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"POCO C71, Desert Gold (4GB, 64GB)",4,838,500,8999,0.31,6189,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
Apple iPhone 15 (128 GB) - Green,4.5,6.2K,5K ,69900,0.31,48499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"OnePlus Nord CE5, Marble Mist, 8GB, 128GB",4.3,2339,5K,24999,0.4,23999,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB)",4,7.5K,5K ,10999,0.32,7499,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"OPPO K13 5G, ICY Purple, 8GB, 128GB",4.3,282,3K,22999,0.28,16552,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Phones
"iQOO Z10 Lite 5G (Cyber Green, 6GB RAM, 128GB)",4,2.7K,5K ,14999,0.27,10998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"OnePlus Nord CE5, Black Infinity, 8GB, 256GB",4.3,2339,5K,26999,0.4,25999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage)",4,7.5K,5K ,11999,0.3,8349,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Samsung Galaxy S24 FE 5G, Mint, 8GB, 128GB",4.4,524,3K,59999,0.47,31990,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Redmi 13 5G Prime Edition, Black Diamond",4.1,2.6K,5K ,19999,0.45,10999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
Samsung Galaxy A55 5G Awesome Navy 8GB 256GB,4.2,3358,5K,45999,0.43,25999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10R 5G (Aquamarine, 8GB RAM, 128GB Storage)",4.3,1.4K,5K ,23499,0.17,19498,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Samsung Galaxy M36 5G, Orange Haze, 8GB, 128GB",3.8,2047,4K,24499,0.37,15499,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
"Redmi 13 5G Prime Edition, Hawaiian Blue",4.1,2.6K,5K ,19999,0.45,10999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Motorola G64 5G, 12GB RAM, 256GB",4,199,300,19999,0.17,16699,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"realme NARZO 80 Lite 4G (Beach Gold, 4GB+64GB)",4.2,704,5K ,8999,0.3,6298,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10R 5G, Aquamarine, 12GB, 256GB",4.3,1591,3K,26999,0.13,23498,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Redmi 13 5G Prime Edition, Orchid Pink, 8GB+128GB",4.1,2.6K,5K ,19999,0.45,10999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"POCO M7 5G, Mint Green, 6GB, 128GB",4.2,1317,4K,12999,0.35,8489,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10 Lite 5G (Titanium Blue, 4GB RAM, 128GB)",4,2.7K,5K ,13999,0.29,9998,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Lava Bold N1 Pro, Titanium Gold, 4GB, 128GB",4,988,3K,8339,0.23,6399,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB)",4,7.5K,5K ,11999,0.3,8349,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"VIVO T4R 5G, 8GB RAM, 128GB",3.5,2,300,23499,0.19,18988,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
"Redmi A4 5G (Starry Black, 4GB RAM, 64GB Storage)",4,7.5K,5K ,10999,0.32,7499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10 5G, Stellar Black, 8GB, 128GB",4.3,2903,5K,25999,0.19,20998,10/10/2025,12/10/2025,Best seller,Electronics,Smart Phones
"iQOO Z10x 5G (Titanium, 6GB RAM, 128GB Storage)",4.3,5.4K,5K ,17499,0.26,12998,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Samsung Galaxy Z Fold6 5G, Silver Shadow, 12GB, 256GB",4.2,208,2K,164999,0.37,103999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
Apple iPhone 15 (128 GB) - Blue,4.5,6.2K,5K ,69900,0.31,48499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"POCO C71, Desert Gold, 6GB, 128GB",4,831,4K,9999,0.32,6799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10 5G (Stellar Black, 8GB RAM, 256GB",4.3,2.8K,5K ,27999,0.18,22998,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
realme NARZO 80 Lite 5G Onyx Black 4GB 128GB,4.2,1473,5K,13999,0.32,9499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10x 5G (Ultramarine, 6GB RAM, 128GB Storage)",4.3,5.4K,5K ,17499,0.26,12998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
Lava Bold N1 Pro Titanium Gold 4GB 128GB,4,988,3K,8339,0.23,6399,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
iQOO Z10 5G Stellar Black 8GB 128GB,4.3,2903,5K,25999,0.19,20998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
iQOO Neo 10 Inferno Red 8GB 256GB,4.3,2858,5K,38999,0.18,31998,11/10/2025,13/10/2025,Limited time deal,Electronics,Smart Phones
Samsung Galaxy A55 5G Awesome Navy 8GB 256GB,4.2,3358,5K,45999,0.43,25999,10/10/2025,12/10/2025,Best seller,Electronics,Smart Phones
realme NARZO 80 Lite 5G Onyx Black 4GB 128GB,4.2,1473,5K,13999,0.32,9499,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
iQOO Neo 10R 5G Raging Blue 8GB 256GB,4.4,4061,5K,33999,0.21,26998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
Vivo T4 Lite 5G Titanium Gold 6GB 128GB,4.3,292,3K,14999,0.27,10999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
OnePlus Nord 5 Marble Sands 8GB 256GB,4.4,2356,5K,34999,0.11,30999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
OnePlus 13R Astral Trail 12GB 256GB,4.4,3146,5K,44999,0.16,37999,10/10/2025,12/10/2025,Best seller,Electronics,Smart Phones
OnePlus Nord CE5 Nexus Blue 8GB 128GB,4.3,2339,5K,24999,0.4,23999,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
iQOO Neo 10R 5G Raging Blue 12GB 256GB,4.4,4061,4K,35999,0.19,28998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
Samsung Galaxy A55 5G Awesome Iceblue 12GB 256GB,4.2,3358,5K,48999,0.41,28999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
OnePlus Nord CE5 Nexus Blue 8GB 256GB,4.3,2339,5K,26999,0.4,25999,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Smart Phones
POCO C71 Desert Gold 6GB 128GB,4,831,4K,9999,0.32,6799,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Phones
